price_paid,address,lat,lon
12800000, METRO STORE CLAYTON SQUARE LIVERPOOL L1 1DP,53.405764,-2.981839
3620924, 1 SUGARBROOK DRIVE LIVERPOOL L11 2BD,53.458548,-2.91374
2244000, FEDERATION HOUSE HOPE STREET LIVERPOOL L1 9RS,53.400867,-2.970517
1800000, 68 - 70 DUKE STREET LIVERPOOL L1 5AA,53.401829,-2.982111
1750000, BANKFIELD CENTRE BANKFIELD ROAD LIVERPOOL L13 0BQ,53.425455,-2.923422
1300000, 109 DUKE STREET LIVERPOOL L1 4JR,53.401176,-2.979793
1097400, 5 BRIDGEWATER STREET LIVERPOOL L1 0AR,53.397204,-2.980872
1040000, 41 WHARNCLIFFE ROAD LIVERPOOL L13 5XX,53.416714,-2.91255
1040000, 49 FLORENTINE ROAD LIVERPOOL L13 6SD,53.42029,-2.912563
1000000, 64 DUKE STREET LIVERPOOL L1 5AA,53.401812,-2.982425
900000," THE PENNY FARTHING PUBLIC HOUSE, 89 ROE STREET LIVERPOOL L1 1EP",53.407607,-2.980924
850000, STONEYCROFT METHODIST CHURCH GREENFIELD ROAD LIVERPOOL L13 3BN,53.414736,-2.915674
840000, 42 SEEL STREET LIVERPOOL L1 4BE,53.402719,-2.981085
787219, 200 STONEDALE CRESCENT LIVERPOOL L11 9DJ,53.454505,-2.910203
755000, 563 PRINCESS DRIVE LIVERPOOL L14 9ND,53.42485,-2.865223
710000, MARGARET BEAVAN SPECIAL SCHOOL ALMONDS GREEN LIVERPOOL L12 5HP,53.434184,-2.914248
700000, 39 BOLD STREET LIVERPOOL L1 4EU,53.403326,-2.978752
680000, 35 MOUNT STREET LIVERPOOL L1 9HD,53.400001,-2.971533
680000,"UNIT 7 CHARLOTTE ROW, 53 GREAT CHARLOTTE STREET LIVERPOOL L1 1QY",53.405666,-2.979344
650000, 44 BANNER STREET LIVERPOOL L15 0HQ,53.397219,-2.932401
625000, 50 RODNEY STREET LIVERPOOL L1 9AA,53.401044,-2.973651
615000, 6 HOPE PLACE LIVERPOOL L1 9BG,53.400973,-2.971775
575000, 125 CHILDWALL PARK AVENUE LIVERPOOL L16 0JF,53.388372,-2.884445
575000, 223 QUEENS DRIVE LIVERPOOL L15 6YE,53.392765,-2.90088
515000, 1 BRACKEN WAY LIVERPOOL L12 1NB,53.424977,-2.913285
500000, 131 PICTON ROAD LIVERPOOL L15 4LG,53.399728,-2.925416
500000, 129 PICTON ROAD LIVERPOOL L15 4LG,53.399754,-2.925599
500000, 127 PICTON ROAD LIVERPOOL L15 4LG,53.399891,-2.925874
500000, LANGBANK MEDICAL CENTRE BROAD LANE LIVERPOOL L11 1AD,53.440805,-2.925901
472500, 8 HOPE PLACE LIVERPOOL L1 9BG,53.400973,-2.971775
470000, 19 SOUTH DRIVE LIVERPOOL L15 8JJ,53.400025,-2.918326
